#OTU ID	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	B13	B14	B15	B16a	B16b	B17	B18	B19	C02	C03	C04	C04_75	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	D13	D14	D15	D16	D17	D18	Consensus Lineage
OTU_16	275	127	437	139	253	573	512	581	822	1485	1259	467	517	766	251	402	399	236	342	398	157	71	49	309	143	487	838	261	140	575	1440	2283	994	75	128	106	184	163	181	148	147	134	355	162	670	145	369	285	432	92	68	75	81	93	125	77	226	74	105	388	270	275	343	251	270	263	230	283	221	77	200	96	91	130	119	66	59	 k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__C111; g__; s__
OTU_81	452	282	2531	880	1004	79	42	123	384	575	627	291	95	252	49	37	5	38	9	8	6	11	3	20	5	83	97	58	31	30	147	104	21	0	3	1	1	1	1	0	2	298	423	197	424	420	808	1002	343	30	3	6	7	2	5	0	4	0	3	179	116	93	155	204	135	79	71	78	18	4	2	2	2	1	2	4	3	 k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Fluviicola; s__
OTU_462	30	5	17	2	12	27	13	26	14	28	23	7	6	15	12	8	7	4	12	15	15	0	2	3	5	17	31	10	9	41	41	53	15	1	9	10	9	9	7	15	21	5	22	5	40	25	11	12	8	2	7	1	1	0	0	1	7	2	4	7	4	9	12	11	8	5	9	1	7	2	11	2	1	7	10	7	4	 k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__; s__
OTU_36	10	5	12	11	25	54	140	125	149	273	178	53	23	77	18	24	28	21	12	14	15	0	0	2	0	8	32	17	35	131	1048	858	298	14	16	3	11	17	8	10	10	134	373	203	473	199	503	778	1087	252	46	77	23	12	10	10	25	7	18	398	277	294	358	241	185	205	249	198	464	61	12	14	20	53	86	61	42	 k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
OTU_168	14	7	27	6	11	24	34	15	64	88	76	33	24	33	27	16	27	14	18	7	9	7	5	10	4	20	57	13	12	31	57	118	39	6	8	3	4	6	7	3	7	6	44	35	110	34	60	135	168	48	75	116	40	10	7	5	3	1	2	51	29	30	41	37	20	61	74	106	130	30	34	1	4	2	1	4	4	 k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__
OTU_3460	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	 k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__; g__; s__
OTU_806	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	7	4	0	4	0	0	0	0	0	0	0	0	0	4	7	11	9	10	3	4	0	1	2	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__; s__
OTU_247	410	91	620	54	43	1	2	28	64	68	63	30	17	21	8	3	2	10	4	1	1	0	0	2	2	18	21	20	12	3	28	13	10	0	2	1	0	0	1	0	1	4	4	16	12	22	40	3	6	1	4	2	0	0	0	0	0	0	0	2	0	0	1	14	11	14	11	1	0	0	1	0	0	0	1	0	0	 k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Fluviicola; s__
OTU_349	1201	533	1492	704	1171	1109	240	208	344	877	788	267	299	927	406	717	657	352	580	402	188	154	128	433	123	240	426	161	130	467	625	1063	727	150	339	196	333	288	291	271	225	84	148	38	209	75	109	310	484	449	731	471	200	32	47	22	98	23	54	154	119	62	136	139	102	137	111	147	164	123	202	39	43	102	123	80	62	 k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnohabitans; s__
OTU_44	229	164	1395	353	425	10	7	50	55	61	138	137	62	144	14	8	7	47	21	16	6	49	37	39	41	230	388	81	9	2	86	18	4	1	8	1	6	5	2	6	3	394	436	166	328	690	677	1238	217	57	27	72	68	7	3	4	5	4	3	488	269	276	289	582	573	638	647	724	92	12	17	2	9	31	43	18	13	 k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__
