#OTU ID	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	B13	B14	B15	B16a	B16b	B17	B18	B19	C02	C03	C04	C04_75	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	D13	D14	D15	D16	D17	D18	Consensus Lineage
OTU_2390	1	0	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_2921	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_217	1	1	11	1	2	0	1	6	10	15	12	12	2	5	1	1	1	0	0	1	0	4	3	1	1	8	31	14	1	2	6	0	0	0	1	0	0	0	1	0	0	24	23	9	20	34	24	48	4	1	1	3	11	2	2	0	1	0	3	141	120	109	121	121	89	70	62	43	9	7	6	0	0	0	6	2	6	 k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__; s__
OTU_1461	1	0	2	0	0	1	0	0	1	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__
OTU_1577	3	2	3	2	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__Rickettsiella; s__
OTU_158	1	3	7	1	4	1	2	3	21	127	147	65	84	541	147	268	262	175	172	35	8	0	1	2	0	3	38	36	30	104	148	233	119	9	16	9	19	11	25	30	33	1	1	0	1	0	0	1	0	1	84	54	28	11	14	2	2	1	2	13	16	11	17	3	5	11	1	1	3	10	89	35	5	4	7	3	0	 k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Luteolibacter; s__
OTU_20	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	212	130	1136	383	301	94	22	3	12	10	11	6	1	0	2	3	2	1	0	0	12	72	26	116	18	52	13	10	3	47	47	38	18	13	11	50	16	35	5037	3422	3381	3632	1890	981	502	158	24	25	10	137	83	111	256	280	294	300	 k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__
OTU_2446	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_1504	2	0	1	0	2	0	0	1	1	1	3	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__GN02; c__BD1-5; o__; f__; g__; s__
OTU_654	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	3	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	1	5	10	31	7	14	0	0	0	0	0	0	0	0	0	0	1	1	3	3	16	6	12	13	 k__Bacteria; p__OD1; c__ABY1; o__; f__; g__; s__
OTU_2838	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Fibrobacteres; c__Fibrobacteria; o__258ds10; f__; g__; s__
OTU_1999	2	2	4	1	0	0	0	0	1	0	3	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	4	0	0	0	0	0	0	0	0	0	0	0	2	4	1	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	13	2	1	3	4	0	5	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales; f__Armatimonadaceae; g__CL0-1; s__
OTU_2709	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_2241	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_1801	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__Mb-NB09; o__; f__; g__; s__
OTU_2045	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_1601	1	2	6	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_1050	2	0	10	0	3	5	0	3	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__
OTU_2522	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_593	1	0	0	0	1	1	5	5	14	33	64	18	9	20	3	10	3	2	3	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	4	6	0	55	44	56	64	8	1	1	0	0	2	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	2	0	 k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__
OTU_1342	1	1	2	0	2	7	6	11	12	32	33	11	12	19	3	13	9	5	6	10	5	0	0	0	0	0	0	0	0	0	4	7	6	4	5	2	2	3	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	2	2	0	1	2	2	1	 k__Bacteria; p__TM7; c__SC3; o__; f__; g__; s__
OTU_456	2	0	1	4	3	10	1	12	10	15	16	5	3	15	3	5	5	9	7	4	3	1	0	3	2	9	6	2	7	31	75	48	61	2	4	2	5	4	4	11	5	1	9	4	24	9	13	43	26	11	23	23	14	4	3	1	5	0	1	1	0	0	0	0	0	0	1	1	0	0	0	3	0	4	3	2	2	 k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
OTU_196	1	0	0	0	0	2	7	3	31	101	108	28	45	132	80	80	96	66	93	83	42	0	1	1	0	2	0	0	0	0	16	29	188	17	12	11	27	18	27	32	35	0	0	0	0	0	0	0	1	8	29	15	4	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	4	0	2	2	 k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__
OTU_3498	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__; g__; s__
OTU_1549	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_1179	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	1	0	1	2	7	3	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Rhodococcus; s__
OTU_68	1	0	1	0	3	1	5	13	114	348	552	271	303	669	182	247	86	397	298	132	106	0	0	0	0	0	0	0	0	0	0	11	39	6	125	14	20	17	36	30	33	0	0	0	1	0	0	2	6	6	49	138	62	8	63	98	345	225	400	0	0	0	1	3	9	10	5	12	15	21	53	24	85	245	362	295	238	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Crenotrichaceae; g__Crenothrix; s__
OTU_3672	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__SM2F11; o__; f__; g__; s__
OTU_758	1	0	0	0	1	1	0	1	0	0	0	4	0	6	0	4	0	0	2	4	6	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	6	1	6	3	0	0	0	0	0	0	0	0	0	0	0	0	4	7	6	14	12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_3440	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	 k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__Parachlamydiaceae; g__Parachlamydia; s__
OTU_2624	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_114	1	2	6	1	4	13	57	74	90	216	141	94	58	176	70	91	65	104	41	34	20	0	0	0	1	7	11	1	3	3	4	9	8	1	4	3	9	11	7	9	10	60	122	81	212	111	322	361	276	52	20	67	49	12	11	9	10	2	9	20	11	8	12	17	6	23	14	14	1	3	1	1	1	0	2	4	1	 k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
OTU_2928	2	0	5	0	0	0	0	0	2	1	0	0	0	1	0	1	1	0	0	3	1	2	0	6	0	1	5	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_656	1	0	0	0	1	0	0	0	0	2	0	0	1	5	6	3	4	1	2	12	6	0	0	0	0	0	1	0	1	0	3	2	2	0	2	1	5	6	1	9	10	0	0	0	0	0	1	0	0	0	1	1	4	4	11	14	53	31	51	0	0	0	1	1	0	0	3	1	0	0	2	3	6	22	38	52	72	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_965	2	0	0	0	1	1	0	1	1	0	2	1	2	0	0	0	0	0	0	2	1	0	0	8	2	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	2	2	1	2	4	0	1	0	0	1	0	2	3	1	 k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__
OTU_2311	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_793	3	2	5	1	1	2	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	12	0	0	0	0	0	0	0	0	0	2	9	3	9	4	8	2	0	0	0	0	0	0	0	0	0	0	1	2	2	4	1	2	1	1	1	1	2	0	0	0	0	0	1	0	0	 k__Bacteria; p__Tenericutes; c__Mollicutes; o__; f__; g__; s__
OTU_736	1	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	1	0	0	0	0	0	0	2	1	10	15	1	8	5	23	6	10	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	 k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__
OTU_3150	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium; s__
OTU_3461	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
OTU_2431	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ABY1; o__; f__; g__; s__
OTU_2155	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_629	1	2	1	0	0	0	1	1	5	13	20	2	4	37	4	9	10	3	10	2	3	2	2	23	6	38	4	4	1	5	2	2	1	0	0	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__; s__
OTU_2866	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__; s__
OTU_2327	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__; g__; s__
OTU_3568	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_3333	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_901	1	0	0	0	0	1	0	0	2	1	2	5	2	3	1	5	0	1	3	1	1	0	0	0	1	0	0	0	0	0	10	2	0	0	0	1	0	3	1	3	1	1	0	0	2	1	3	5	6	1	3	6	1	0	1	0	1	2	3	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	 k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__
OTU_272	1	1	4	0	0	1	3	1	6	29	13	5	4	19	3	20	13	8	13	9	4	43	26	105	8	12	8	0	1	2	0	3	0	1	0	0	0	0	1	0	2	26	38	9	19	10	8	2	5	11	7	8	0	0	0	0	1	0	0	113	40	70	84	60	37	48	50	20	4	0	0	0	1	0	1	0	2	 k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__[Roseiflexales]; f__; g__; s__
OTU_120	1	1	10	0	1	23	17	22	68	157	215	136	100	347	105	152	169	184	237	208	77	1	0	3	1	1	15	5	13	29	42	1	24	9	48	26	63	63	29	26	36	29	54	45	105	150	81	283	190	52	52	149	117	19	20	7	26	16	27	123	121	83	126	141	87	115	75	195	51	36	34	11	11	27	70	49	31	 k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__
OTU_2281	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_1611	1	0	2	1	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_1069	1	1	8	2	0	0	0	0	2	0	2	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_1986	2	0	10	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_1046	2	0	5	2	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	4	0	0	2	2	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	2	2	2	0	1	2	2	2	1	2	0	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	2	3	4	1	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_1972	2	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_766	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	3	1	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	1	4	2	2	1	0	1	0	0	4	0	3	3	3	2	5	17	13	5	2	0	1	0	0	1	0	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
OTU_1922	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Perlucidibaca; s__
OTU_600	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	5	2	1	2	0	26	9	0	0	2	0	0	0	0	1	0	1	2	4	5	10	13	1	3	2	0	3	0	0	0	0	0	0	0	7	6	2	8	51	46	19	4	2	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Fluviicola; s__
OTU_128	3	0	20	2	10	7	20	30	23	80	112	43	42	124	54	82	96	50	107	289	219	1	1	7	1	3	12	4	1	3	25	37	15	30	93	45	131	143	144	176	245	2	3	4	7	2	9	11	5	0	3	22	24	29	164	153	792	325	625	0	2	3	5	3	6	9	3	13	3	8	63	136	164	467	838	683	961	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_303	1	1	1	2	0	2	1	7	3	15	23	5	3	15	2	9	10	9	9	25	21	0	0	6	0	0	3	1	0	0	2	5	1	7	8	3	8	11	7	8	14	2	0	0	2	0	0	1	1	0	1	2	7	9	14	19	39	7	19	0	0	0	1	0	0	1	4	7	2	6	63	59	45	70	66	74	59	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_160	1	0	1	0	0	0	4	5	8	33	52	10	7	73	25	44	55	34	88	267	251	0	0	0	0	0	0	0	0	0	0	0	8	18	73	92	105	127	171	227	230	0	1	0	1	0	0	1	0	0	0	1	1	12	86	93	428	166	296	1	0	0	0	1	0	1	0	0	0	3	69	98	142	274	388	363	357	 k__Bacteria; p__OD1; c__ABY1; o__; f__; g__; s__
OTU_676	2	1	4	0	1	2	0	0	0	2	4	0	1	11	1	6	9	6	7	3	0	0	0	0	0	0	0	0	0	0	0	1	7	2	8	7	10	11	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_1412	2	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Phaeospirillum; s__
OTU_1265	1	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	4	3	1	5	0	0	0	0	1	0	0	3	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_3584	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
